ja3s_digest,destination_ip
e58f0b3c1e9eefb8ee4f92aeceee5858,192.168.198.118
e58f0b3c1e9eefb8ee4f92aeceee5858,192.168.221.84
8685e43ade3e6ec8993efb5d149fb4bc,192.168.221.16
8685e43ade3e6ec8993efb5d149fb4bc,192.168.229.191
8685e43ade3e6ec8993efb5d149fb4bc,192.168.240.42
8685e43ade3e6ec8993efb5d149fb4bc,192.168.243.223
8685e43ade3e6ec8993efb5d149fb4bc,192.168.46.120
8685e43ade3e6ec8993efb5d149fb4bc,192.168.49.224
8685e43ade3e6ec8993efb5d149fb4bc,192.168.59.185
8685e43ade3e6ec8993efb5d149fb4bc,192.168.76.79
8685e43ade3e6ec8993efb5d149fb4bc,192.168.92.191
8685e43ade3e6ec8993efb5d149fb4bc,192.168.95.156
704239182a9091e4453fdbfe0fd17586,192.168.225.157
704239182a9091e4453fdbfe0fd17586,192.168.27.243
05c3185bce4276274cf446b1bebc52cf,192.168.255.112
9d06445d1f8c6c18db9c03f2b6887391,192.168.68.163
